year,FOD1,wfh,perwt
2022.0,5098,0.1530495505534507,478
2022.0,5102,0.17829099307159355,20
2022.0,5200,0.1657904515780317,4078
2022.0,5201,0.04124926340601061,12
2022.0,5202,0.11052949466478759,33
2022.0,5203,0.20596157299335607,46
2022.0,5205,0.26596604688763137,23
2022.0,5206,0.18774703557312253,3
2022.0,5299,0.21302250803858522,123
2022.0,5301,0.09098414161194947,2121
2022.0,5401,0.09312856861586927,43
2022.0,5402,0.29720879463589583,152
2022.0,5403,0.1282863654049247,162
2022.0,5404,0.12168029228173076,522
2022.0,5500,0.19218464351005485,106
2022.0,5501,0.3402764317344824,1776
2022.0,5502,0.1979315118693758,446
2022.0,5503,0.13388492871690427,311
2022.0,5504,0.20430199674350843,225
2022.0,5505,0.330159590688849,285
2022.0,5506,0.27718390236028595,1650
2022.0,5507,0.19879603399433426,1093
2022.0,5599,0.1436255269661288,57
2022.0,5601,0.053283100107642624,226
2022.0,5701,0.026184058529072005,35
2022.0,5901,0.09446403223590824,190
2022.0,6000,0.17901973996156822,727
2022.0,6001,0.17671502620681667,600
2022.0,6002,0.19450166853397907,745
2022.0,6003,0.12781756377677303,245
2022.0,6004,0.28905143293015145,1314
2022.0,6005,0.25120920441580563,591
2022.0,6006,0.14921115445071897,152
2022.0,6007,0.18272202569353937,247
2022.0,6099,0.31777819761949744,142
2022.0,6100,0.14186389228269494,638
2022.0,6102,0.1455775134305449,204
2022.0,6103,0.2604456824512535,352
2022.0,6104,0.03256295274232494,133
2022.0,6105,0.08165817649391453,261
2022.0,6106,0.06198378419337728,114
2022.0,6107,0.034240502626095334,3868
2022.0,6108,0.08972011509285902,91
2022.0,6109,0.10229626883572845,374
2022.0,6110,0.21666331999814645,556
2022.0,6199,0.06616032753812377,138
2022.0,6200,0.2495380867172974,2792
2022.0,6201,0.281976955180548,1892
2022.0,6202,0.38490450256960956,100
2022.0,6203,0.2293171353175592,3666
2022.0,6204,0.31706839881045545,431
2022.0,6205,0.3447153472947246,149
2022.0,6206,0.29766051298807383,2550
2022.0,6207,0.2895524671504421,2423
2022.0,6209,0.23347087839119712,336
2022.0,6210,0.25760437699472416,259
2022.0,6211,0.15335525918773762,567
2022.0,6212,0.44837581669273946,394
2022.0,6299,0.2349820855241729,377
2022.0,6402,0.20162796345456524,1052
2022.0,6403,0.23496659242761692,9
2023.0,1100,0.11706239646604086,186
2023.0,1101,0.13129037601457677,340
2023.0,1102,0.12467588591184096,58
2023.0,1103,0.11948630651379362,380
2023.0,1104,0.059258376058185284,73
2023.0,1105,0.05850414836505612,158
2023.0,1106,0.056948798328108674,24
2023.0,1107,0.0,21
2023.0,1199,0.08726923999040997,42
2023.0,1301,0.15969672785315242,780
2023.0,1302,0.057241704670545686,62
2023.0,1303,0.10649862620953292,333
2023.0,1401,0.1189924093782825,448
2023.0,1501,0.21429716300689214,429
2023.0,1901,0.22113581279935368,2386
2023.0,1902,0.26796256877786256,636
2023.0,1903,0.23398255508459734,991
2023.0,1904,0.24074096134373696,680
2023.0,2001,0.21220238095238095,327
2023.0,2100,0.2661181803158715,742
2023.0,2101,0.27540793506170796,105
2023.0,2102,0.338689880304679,3132
2023.0,2105,0.39051315836330613,262
2023.0,2106,0.2672548002075765,358
2023.0,2107,0.29471968118829817,110
2023.0,2201,0.060173593723919214,103
2023.0,2300,0.06472362452297328,1012
2023.0,2301,0.11072664359861592,7
2023.0,2303,0.0,1
2023.0,2304,0.05310152224363765,1230
2023.0,2305,0.05063291139240506,100
2023.0,2306,0.10305692842760387,175
2023.0,2307,0.07203529501255103,360
2023.0,2308,0.04823114548970538,80
2023.0,2309,0.037948785638859554,146
2023.0,2310,0.041256196272824244,301
2023.0,2311,0.1444887321784455,132
2023.0,2312,0.07277375372816361,119
2023.0,2313,0.07839235972940709,207
2023.0,2314,0.06339972656354717,350
2023.0,2399,0.15388207822533567,97
2023.0,2400,0.18156039586063535,665
2023.0,2401,0.11200028202777973,266
2023.0,2402,0.12015167930660889,171
2023.0,2403,0.033023735810113516,32
2023.0,2404,0.17774932422819748,308
2023.0,2405,0.11940298507462686,664
2023.0,2406,0.09338079563142719,730
2023.0,2407,0.28903878957045703,857
2023.0,2408,0.1488076022919861,934
2023.0,2409,0.3221631205673759,48
2023.0,2410,0.10692701069270107,133
2023.0,2411,0.15912518853695323,13
2023.0,2412,0.1975180358044117,285
2023.0,2413,0.11713755413487317,45
2023.0,2414,0.12008031944399873,1949
2023.0,2415,0.0,3
2023.0,2416,0.11772072636192861,16
2023.0,2417,0.005681818181818182,19
2023.0,2418,0.05246913580246913,20
2023.0,2419,0.0772701635645798,42
2023.0,2499,0.10758455073043827,218
2023.0,2500,0.17973966412625617,127
2023.0,2501,0.18581770930016706,50
2023.0,2502,0.21001510900064752,79
2023.0,2503,0.1463361123299693,43
2023.0,2504,0.05621328513330321,102
2023.0,2599,0.16437220102836292,163
2023.0,2601,0.17381308196344408,167
2023.0,2602,0.23016602852413517,558
2023.0,2603,0.2038191069692985,152
2023.0,2901,0.12348517061762518,677
2023.0,3202,0.16398121719915293,204
2023.0,3301,0.20824839747525603,1448
2023.0,3302,0.23082745384261888,332
2023.0,3401,0.13298085740486015,557
2023.0,3402,0.17468860525911117,65
2023.0,3501,0.0,3
2023.0,3600,0.1069597114724208,2900
